CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Point Earned,Geography_Germany,Geography_Spain,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Predicted_Churn,Churn_Probability
-0.3262214220367463,0,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,1,1,1,0.0218864939953861,1,1,2,-0.6308391179267365,False,False,False,False,False,1,0.9911126816959935
-0.4400359548576657,0,0.1981638321954454,-1.3875375865624426,0.1173500214351105,1,0,1,0.2165337518873402,0,1,3,-0.6662508949483567,False,True,False,False,False,1,0.9912984143312308
-1.536794180222889,0,0.2935174228967471,1.03290776479748,1.3330533457228904,3,1,0,0.2406869000634881,1,1,3,-1.0159421930368553,False,False,False,False,False,1,0.9950447890252679
0.5015206348426676,0,0.007456650792842,-1.3875375865624426,-1.2258476714090278,2,0,0,-0.1089179170284712,0,0,5,-1.1354569404848232,False,False,True,False,False,0,0.0026044026465334145
2.063883767202561,0,0.3888710135980487,-1.0417596792253108,0.7857278997960591,1,1,1,-0.3652757825144027,0,0,5,-0.8034715309071345,False,True,True,False,False,0,0.0018387905125480952
-0.0572052535509367,1,0.4842246042993504,1.03290776479748,0.5973285944410414,2,1,0,0.8636502870218095,1,1,5,-0.5423096753726862,False,True,False,False,False,1,0.9929487378745909
1.7741740472947665,1,1.0563461485071606,0.6871298574603482,-1.2258476714090278,2,1,1,-1.5654872211931183,0,0,2,-1.7728689268739852,False,False,False,False,True,0,0.0022940490677392017
-2.840487919807966,0,-0.9460792562201747,-0.3502038645510472,0.6180189508533646,4,1,0,0.3348537298101204,1,1,2,-1.436457045168594,True,False,False,False,False,1,0.9894965870496664
-1.5471409559338818,1,0.4842246042993504,-0.3502038645510472,1.0508202865849028,2,0,1,-0.4373288460949081,0,0,3,-1.573677681127372,False,False,True,False,False,0,0.0015934259984967866
0.3463189991777775,1,-1.1367864376227783,-1.0417596792253108,0.9314633619936776,1,1,1,-0.4932304840924708,0,0,3,-1.1708687175064434,False,False,True,False,False,0,0.0007071601182312432
-1.2677780117370796,1,-0.7553720748175714,0.3413519501232164,0.409185402285092,2,0,0,-0.3461997008923627,0,0,3,-1.5161335434672394,False,False,True,False,False,0,0.001565777627021734
-1.5885280587778523,1,-1.422847209726683,-0.695981771888179,-1.2258476714090278,2,1,0,-0.412123315592307,0,0,3,-1.5825306253827771,False,True,True,False,False,0,0.0009904029795556927
-1.8058103487086987,0,-0.4693113027136664,1.7244635794717436,-1.2258476714090278,2,1,0,-1.283817056739873,0,0,3,-2.157972001984104,False,False,False,False,True,0,0.002719280356951282
-1.0504957218062334,0,-1.3274936190253817,-0.0044259572139154,-1.2258476714090278,2,0,0,1.5783569986897874,0,0,3,-0.2545889870720227,False,False,False,True,False,0,0.0009945146810003496
-0.1606730106608635,0,-0.3739577120123647,0.6871298574603482,-1.2258476714090278,2,1,1,-0.5936359656444845,0,0,2,-1.2771040485713037,False,True,True,False,False,0,0.0009573869923547936
-0.3572617491697243,1,0.5795781950006521,-0.695981771888179,1.0681029591182611,2,0,1,-0.6218824846013182,0,0,5,-1.3213687698483287,True,False,True,False,False,0,0.0013212216031783343
0.0255689521370046,1,1.8191748741175744,-1.3875375865624426,0.8993931172292712,1,1,0,-1.651825870574206,1,0,2,-1.9632072283651931,True,False,False,False,True,0,0.014760564360034562
-1.0504957218062334,0,-1.422847209726683,1.378685672134612,-1.2258476714090278,2,1,1,-1.489956183569091,0,0,3,-0.2767213477105353,False,True,False,False,True,0,0.0004615887985661417
-0.6573182447885119,1,0.5795781950006521,0.3413519501232164,-1.2258476714090278,1,0,0,1.018901024774756,0,0,3,0.5554554122975375,False,True,False,True,False,0,0.0022077252968303878
0.7808835790394698,0,-1.422847209726683,0.3413519501232164,-1.2258476714090278,2,1,1,-0.7888730584424746,0,0,4,-0.5732949802666037,False,False,True,False,False,0,0.00039347766980209046
